distance_from_superior_mm,kinematic_pressure_m2_s2,pressure_pa
0.0,54.06349563598633,65.09244874572754
0.24651409860435236,52.616573333740234,63.35035429382324
0.4930281972087047,51.82123565673828,62.39276773071289
0.739542295813057,50.82582092285156,61.19428839111328
0.9860563944174094,50.32984161376953,60.597129302978516
1.2325704930217618,49.318904876708984,59.379961471557614
1.479084591626114,48.48003387451172,58.36996078491211
1.7255986902304663,47.417999267578125,57.09127111816406
1.9721127888348189,46.850337982177734,56.40780693054199
2.218626887439171,45.67604064941406,54.99395294189453
2.4651409860435236,44.539772033691406,53.62588552856445
2.7116550846478757,43.56405258178711,52.451119308471675
2.958169183252228,42.72935485839844,51.446143249511714
3.2046832818565805,41.385292053222656,49.827891632080075
3.4511973804609326,40.36601638793945,48.6006837310791
3.6977114790652856,38.70438003540039,46.60007356262207
3.9442255776696378,37.762550354003906,45.466110626220704
4.1907396762739895,36.55974578857422,44.01793392944336
4.437253774878342,35.671695709228516,42.948721633911134
4.683767873482695,34.66443634033203,41.73598135375976
4.930281972087047,33.65617370605469,40.52203314208984
5.176796070691399,33.14994430541992,39.91253294372559
5.4233101692957515,31.985078811645508,38.51003488922119
5.669824267900104,31.532867431640625,37.96557238769531
5.916338366504456,30.433629989624023,36.642090507507326
6.162852465108808,30.130569458007812,36.277205627441404
6.409366563713161,29.719709396362305,35.78253011322021
6.6558806623175135,29.37335777282715,35.365522758483884
6.902394760921865,28.92828369140625,34.829653564453125
7.148908859526218,28.44396209716797,34.246530364990235
7.395422958130571,28.142133712768555,33.88312899017334
7.641937056734922,27.548959732055664,33.16894751739502
7.8884511553392755,27.084245681762695,32.60943180084229
8.134965253943628,26.59465217590332,32.0199612197876
8.381479352547979,25.964374542236328,31.26110694885254
8.627993451152332,26.03830337524414,31.350117263793944
8.874507549756684,25.812482833862305,31.078229331970213
9.121021648361037,25.92376136779785,31.212208686828614
9.36753574696539,26.075355529785156,31.39472805786133
9.614049845569742,26.293474197387695,31.657342933654785
9.860563944174094,26.746444702148438,32.20271942138672
10.107078042778447,26.731956481933594,32.18527560424805
10.353592141382798,27.2112979888916,32.762402778625486
10.60010623998715,26.634765625,32.0682578125
10.846620338591503,27.533966064453125,33.15089514160156
11.093134437195856,27.83866310119629,33.51775037384033
11.339648535800208,27.677045822143555,33.32316316986084
11.58616263440456,27.85902976989746,33.542271842956545
11.832676733008912,28.039432525634766,33.75947676086426
12.079190831613264,28.065584182739258,33.79096335601807
12.325704930217617,27.921667098999023,33.617687187194825
12.57221902882197,27.944826126098633,33.64557065582275
12.818733127426322,28.20319366455078,33.95664517211914
13.065247226030674,28.32412338256836,34.102244552612305
