iteration,Ux_initial,Uy_initial,Uz_initial,p_initial,Ux_final,Uy_final,Uz_final,p_final,p_corrections,Ux_linear_iterations,Uy_linear_iterations,Uz_linear_iterations,continuity_local,continuity_global,continuity_cumulative
1,1.0,1.0,1.0,1.0,0.01578571,0.017661406,0.018306384,0.00063831405,3,2,3,3,64.909443,0.94190685,0.94190685
2,0.37042021,0.41526548,0.39379784,0.30721016,0.014035449,0.020581201,0.011091675,0.00048391832,3,2,2,3,34.308505,0.89737464,1.8392815
3,0.31886303,0.4665381,0.57907488,0.10985611,0.013974962,0.0088390184,0.011128381,0.0024508551,3,3,4,4,20.591812,-0.0054328873,1.8338486
4,0.17090225,0.29264886,0.32879246,0.10763489,0.007504256,0.014545235,0.0062799674,0.00065601048,3,3,3,4,32.612697,-0.70996371,1.1238849
5,0.1511052,0.22351923,0.15380126,0.29528023,0.007397695,0.0050344232,0.0057970369,0.00065674323,3,2,3,3,22.728885,-0.040427213,1.0834577
6,0.2277609,0.33523632,0.35996971,0.19759003,0.0082309458,0.015354425,0.017970509,0.0016079272,3,3,3,3,15.391759,0.048770397,1.1322281
7,0.16432113,0.23450523,0.24544847,0.23966548,0.0061072154,0.010620409,0.012163511,0.00058035272,3,3,3,3,17.561109,-0.41131429,0.72091379
8,0.15018874,0.21129964,0.14987121,0.21698999,0.0027799614,0.0055692264,0.0062046285,0.00055800768,3,3,3,3,10.330496,0.019747448,0.74066124
9,0.14514633,0.2290176,0.22465876,0.15187229,0.0051374104,0.010376141,0.0042553015,0.0014512439,3,3,3,4,10.325578,-0.014293016,0.72636822
10,0.071957898,0.10997088,0.094978118,0.1878625,0.002388085,0.0045257456,0.004587382,0.00055668681,3,3,3,3,9.2422389,-0.055745861,0.67062236
11,0.070837066,0.10736996,0.080778995,0.18068058,0.0015087366,0.0032451104,0.0036459673,0.00052673069,3,3,3,3,4.736701,-0.024978626,0.64564373
12,0.07827399,0.12477895,0.1223525,0.15456579,0.0027939554,0.0056636082,0.0061007728,0.0010725327,3,3,3,3,6.4850593,0.0073974213,0.65304116
13,0.043539708,0.061944948,0.048545044,0.18191732,0.0012898074,0.0021988586,0.0021966691,0.00048394813,3,3,3,3,4.8996719,-0.092792147,0.56024901
14,0.045705285,0.069104404,0.054987955,0.11993778,0.0011000702,0.0023604292,0.0025907244,0.00037082825,3,3,3,3,2.0131754,-0.016334483,0.54391453
15,0.041232171,0.06752417,0.06562112,0.11518477,0.0015057072,0.0031145638,0.0012467501,0.00095547183,3,3,3,4,3.9778737,-0.0064941215,0.5374204
16,0.021474332,0.03062012,0.021726565,0.11324007,0.00057553158,0.00095238223,0.00088112345,0.00045044232,3,3,3,3,2.6270276,0.060358676,0.59777908
17,0.024583549,0.037765477,0.031411517,0.10011277,0.00062549919,0.0013280288,0.0014801212,0.00031413878,3,3,3,3,0.98236021,-0.018521125,0.57925795
18,0.021710412,0.034882446,0.03337942,0.10212658,0.00078084579,0.0015624411,0.0016520669,0.0006388219,3,3,3,3,2.3425158,0.0020913439,0.5813493
19,0.012920519,0.017758784,0.011824989,0.097267769,0.0003139752,0.00044426296,0.00038774721,0.00048531962,3,3,3,3,2.0260912,-0.0013415748,0.58000772
20,0.014574808,0.022737486,0.019868748,0.067117645,0.00040540536,0.0008656674,0.00095639747,0.00021270693,3,3,3,3,0.58598298,0.0074790505,0.58748677
21,0.011594137,0.019063284,0.018281908,0.06445276,0.00042526878,0.00086118333,0.00091080329,0.00052287915,3,3,3,3,1.3687847,-0.00042670414,0.58706007
22,0.0076097372,0.010737682,0.0078413143,0.054559972,0.00019808969,0.00031154409,0.00029117193,0.00038078686,3,3,3,3,1.0563726,0.001111489,0.58817156
23,0.0085154563,0.012994801,0.010792979,0.057254229,0.00024760746,0.00047141161,0.00048566501,0.00026941339,3,3,3,3,0.55544655,0.0053909407,0.5935625
24,0.006811666,0.010462312,0.0092501253,0.056547966,0.00024243705,0.00042692416,0.00042661742,0.00030616176,3,3,3,3,0.82448586,-0.0020278912,0.59153461
25,0.0052778217,0.0075558821,0.0061206105,0.042993691,0.0001535112,0.00024170007,0.00023488997,0.00021446197,3,3,3,3,0.58040179,-0.0016455729,0.58988904
26,0.0054359923,0.0086537552,0.0078815806,0.037908235,0.00017390807,0.00033908785,0.00035934327,0.00015260604,3,3,3,3,0.35249942,-0.00073503973,0.589154
27,0.0043701374,0.007077672,0.0066635362,0.035220013,0.00016129334,0.00029564946,0.00030721458,0.00023333838,3,3,3,3,0.48722618,0.0020090329,0.59116303
28,0.0038480801,0.0057466514,0.0050158564,0.031745368,0.00012896156,0.00021336923,0.00021001743,0.00015717727,3,3,3,3,0.32528844,0.0019688518,0.59313188
29,0.0039264971,0.0059182269,0.0052178328,0.031714394,0.00013964096,0.00023086231,0.0002250145,0.00010751319,3,3,3,3,0.23818362,0.0010321297,0.59416401
30,0.0034234967,0.0051811966,0.0047411761,0.030033466,0.00013071319,0.00021057053,0.00020567675,0.00011998756,3,3,3,3,0.28503197,-0.00098533572,0.59317867
31,0.0031369191,0.0048518799,0.0044914622,0.026782313,0.00011486121,0.00019249697,0.00019211065,8.7185547e-05,3,3,3,3,0.20478044,0.0032242773,0.59640295
32,0.0030192131,0.0048626193,0.0046280149,0.025116104,0.00011410118,0.00020121552,0.00020552966,7.7099784e-05,3,3,3,3,0.17267298,-0.00024404173,0.59615891
33,0.0027667061,0.0044480439,0.0042842719,0.023710277,0.00010957706,0.00018843913,0.00019130484,9.0966818e-05,3,3,3,3,0.19684823,-0.002394002,0.59376491
34,0.0026977851,0.0042177382,0.0040079007,0.022573495,0.0001063826,0.00017697383,0.00017645811,6.1855713e-05,3,3,3,3,0.13496365,-0.001127117,0.59263779
35,0.0026532147,0.0041286988,0.0039193776,0.022012156,0.00010703444,0.0001749726,0.00017301923,5.0462621e-05,3,3,3,3,0.1130373,0.00035688813,0.59299468
36,0.0025211493,0.003942459,0.0037777261,0.021104365,0.00010391734,0.00016885986,0.00016756417,5.62709e-05,3,3,3,3,0.12829657,0.0012215852,0.59421626
37,0.0024278864,0.0038332122,0.0036989948,0.020036122,0.0001001666,0.00016489447,0.00016512172,3.8882838e-05,3,3,3,3,0.088216739,0.00060094515,0.59481721
38,0.0023522326,0.0037475085,0.0036423817,0.019228048,9.8229831e-05,0.00016309548,0.0001644091,3.9484431e-05,3,3,3,3,0.088468463,-8.1754165e-05,0.59473546
39,0.0022805853,0.003624998,0.0035272782,0.018503861,9.6552387e-05,0.00015891659,0.00015980075,4.2085074e-05,3,3,3,3,0.093517704,-0.00039151176,0.59434394
40,0.002243154,0.0035370773,0.0034289139,0.017940057,9.5539089e-05,0.00015528312,0.00015529374,3.2821271e-05,3,3,3,3,0.073225631,-0.00010466348,0.59423928
41,0.0022055525,0.0034587458,0.0033531766,0.01748389,9.4716771e-05,0.0001524561,0.00015222912,2.7914217e-05,3,3,3,3,0.062715968,0.00029354377,0.59453282
