iteration,Ux_initial,Uy_initial,Uz_initial,p_initial,Ux_final,Uy_final,Uz_final,p_final,p_corrections,Ux_linear_iterations,Uy_linear_iterations,Uz_linear_iterations,continuity_local,continuity_global,continuity_cumulative
1,1.0,1.0,1.0,1.0,0.014866954,0.018599112,0.019281161,0.00054488043,3,2,3,3,92.397249,1.5604683,1.5604683
2,0.34720251,0.40229883,0.41543553,0.22396502,0.0063042443,0.010700038,0.015794971,0.00061454,3,3,3,3,64.19955,-1.6021659,-0.04169765
3,0.30498342,0.46668122,0.58419947,0.099851509,0.013672952,0.0088692707,0.01121827,0.0021189871,3,3,4,4,40.341582,-0.32767076,-0.36936841
4,0.15701443,0.27314333,0.3080259,0.097957603,0.0067930152,0.013441161,0.0058515731,0.00083099446,3,3,3,4,66.636733,-0.046167672,-0.41553608
5,0.1509444,0.22963517,0.17594876,0.26086754,0.0029070553,0.0065158743,0.0075698368,0.00066913514,3,3,3,3,33.621424,-1.0378019,-1.453338
6,0.22341101,0.34173395,0.37942754,0.18565971,0.0083962583,0.015983189,0.018889876,0.0015795727,3,3,3,3,28.472379,0.12179214,-1.3315458
7,0.15018166,0.22269608,0.23559094,0.23777687,0.0055703055,0.01006712,0.011615708,0.00070793839,3,3,3,3,33.696694,0.53847306,-0.79307276
8,0.14501673,0.22141296,0.17658479,0.18549521,0.0032402021,0.0071631883,0.0080933405,0.00050323861,3,3,3,3,13.394351,0.34315822,-0.44991454
9,0.13607274,0.23161418,0.23708497,0.14497706,0.0050965291,0.010844207,0.011853954,0.0016176436,3,3,3,3,19.739025,-0.27082963,-0.72074416
10,0.062278901,0.09615205,0.087803632,0.18746598,0.0020740033,0.0039661316,0.0042554735,0.00072405601,3,3,3,3,19.030968,-0.14416537,-0.86490954
11,0.068468679,0.10906382,0.090593907,0.17011252,0.0017149716,0.0038762801,0.0042662359,0.00045427135,3,3,3,3,5.8550154,-0.22905441,-1.093964
12,0.075201315,0.1266028,0.13030607,0.15337105,0.0028554759,0.0059296672,0.0064776749,0.0012085067,3,3,3,3,11.591542,0.098058215,-0.99590574
13,0.038231987,0.054536608,0.044025537,0.20068262,0.0011173328,0.0018657297,0.001982564,0.00058751865,3,3,3,3,9.1366433,0.19931012,-0.79659562
14,0.044792903,0.072652393,0.063491144,0.12151725,0.0012527372,0.002833992,0.0030790886,0.00028250302,3,3,3,3,2.0335161,0.056292974,-0.74030264
15,0.039297681,0.068338353,0.069983506,0.12106649,0.0015333495,0.0032485001,0.0013281679,0.0011874747,3,3,3,4,7.4735748,-0.14800986,-0.8883125
16,0.018947051,0.026813548,0.019002544,0.12934067,0.00049227255,0.00077966108,0.00075291673,0.00052274131,3,3,3,3,4.5602537,-0.17523293,-1.0635454
17,0.024204333,0.039600307,0.036088944,0.11108108,0.00069568779,0.0015627041,0.0017393887,0.00032688198,3,3,3,3,1.225858,0.024381555,-1.0391639
18,0.020776127,0.035208268,0.035693681,0.11722268,0.00079948278,0.0016370142,0.001764957,0.00086467159,3,3,3,3,4.3518882,0.062953384,-0.97621049
19,0.011469701,0.015982248,0.01061534,0.12212704,0.00026092408,0.00037855697,0.00034399687,0.00036727093,3,3,3,3,2.1473243,0.077383123,-0.89882737
20,0.014432982,0.024080932,0.02285862,0.076850361,0.00045368012,0.0010141533,0.0011226533,0.00035069053,3,3,3,3,1.0801417,-0.041960202,-0.94078757
21,0.011101846,0.019103191,0.019431606,0.075274127,0.00044089064,0.00089910968,0.0009702068,0.00074303775,3,3,3,3,2.4907352,-0.030674941,-0.97146252
22,0.0069659422,0.0099072788,0.007272284,0.064956838,0.00018014911,0.00028388691,0.00027205736,0.00042177228,3,3,3,3,1.4744435,-0.0059930527,-0.97745557
23,0.008243339,0.013515227,0.012258646,0.070478588,0.00025461428,0.0005375663,0.000577016,0.00043342236,3,3,3,3,0.91338036,-0.032820918,-1.0102765
24,0.0061794682,0.0098963054,0.009233938,0.070405666,0.00023006845,0.00042104164,0.00043524903,0.00045621311,3,3,3,3,1.4454349,0.018865852,-0.99141063
25,0.0048415983,0.0071298498,0.0060049415,0.051193628,0.0001428245,0.00024676009,0.00024963407,0.00023606891,3,3,3,3,0.73768789,0.0022721905,-0.98913844
26,0.0052879308,0.0089416529,0.0086680112,0.045252169,0.00018235555,0.00037879764,0.0004078787,0.00022956353,3,3,3,3,0.53500407,0.00014631339,-0.98899213
27,0.0040263362,0.0067852739,0.0067353674,0.041743618,0.00015807511,0.00030001131,0.00031595212,0.00036339343,3,3,3,3,0.82729062,-0.010418182,-0.99941031
28,0.0035300797,0.0053020764,0.0046780184,0.037478193,0.00012072976,0.00020298445,0.00020001576,0.00017260933,3,3,3,3,0.37970279,0.0017028547,-0.99770746
29,0.0035769853,0.0055721844,0.0049616621,0.040093504,0.00013069133,0.00022329024,0.00021868381,0.00016056536,3,3,3,3,0.36082745,0.0096706066,-0.98803685
30,0.0030240761,0.004633834,0.004265186,0.036855118,0.00012074529,0.00019557299,0.00018913541,0.00017758206,3,3,3,3,0.44876236,0.0031940417,-0.98484281
31,0.0028967208,0.0046462878,0.0044857744,0.031164267,0.00011079179,0.00019905328,0.00020200227,9.2461443e-05,3,3,3,3,0.22652055,0.007209794,-0.97763302
32,0.002810277,0.0047776507,0.0047488957,0.029320907,0.00011224564,0.00021107845,0.0002181612,0.00011146642,3,3,3,3,0.24833832,-0.0059147533,-0.98354777
33,0.0025212993,0.0042539901,0.0042474378,0.027366974,0.00010530128,0.00019090492,0.00019519691,8.6187332e-05,3,3,3,3,0.18285062,-0.006638198,-0.99018597
34,0.0024541937,0.0039328702,0.00379958,0.026308909,0.00010047421,0.0001728887,0.00017210174,6.3442019e-05,3,3,3,3,0.13600321,-0.0032722162,-0.99345818
35,0.0023930224,0.0038153111,0.003655761,0.026092775,0.00010019951,0.00016884463,0.00016585913,7.5943779e-05,3,3,3,3,0.17148931,0.0039705614,-0.98948762
36,0.0022758752,0.003701519,0.0036066631,0.024587694,9.7240512e-05,0.00016653825,0.00016500265,7.5446139e-05,3,3,3,3,0.17510967,0.004467827,-0.98501979
37,0.0022203157,0.0037086011,0.0036644231,0.022987627,9.471818e-05,0.00016798178,0.00016875365,3.6462992e-05,3,3,3,3,0.08344602,0.00088894428,-0.98413085
38,0.0021479159,0.0036441848,0.0036277695,0.022002656,9.285795e-05,0.00016629511,0.00016801466,5.6662215e-05,3,3,3,3,0.12619093,-0.0022054883,-0.98633634
39,0.0020723717,0.0034901104,0.0034666338,0.021101554,9.0372337e-05,0.00015957369,0.00016051512,5.436262e-05,3,3,3,3,0.11944808,-0.0012054006,-0.98754174
40,0.0020335939,0.0033688947,0.0033191637,0.020515075,8.8632798e-05,0.00015379853,0.00015345344,2.8128543e-05,3,3,3,3,0.062328973,7.4349767e-05,-0.98746739
41,0.001993833,0.003291834,0.0032346498,0.020014361,8.7400591e-05,0.0001506538,0.00014979827,3.998208e-05,3,3,3,3,0.089841089,0.0012855046,-0.98618188
