sample_index,distance_from_superior_mm,center_x_ras_mm,center_y_ras_mm,center_z_ras_mm,normal_x,normal_y,normal_z,area_mm2,perimeter_mm,minimum_feret_diameter_mm,maximum_feret_diameter_mm,equivalent_diameter_mm
0,0.0,2.83233904838562,116.92406463623047,1344.05615234375,0.115374198248124,-0.5069107116258433,-0.8542425444904883,7.2098480213370735,9.67826134892205,2.661317368312728,3.432332551709579,3.0298289741001767
1,0.24651409860435236,2.8607804148689566,116.79910399908113,1343.8455695129055,0.11537419824813823,-0.5069107116259169,-0.8542425444904425,7.0100465483656285,9.526236110443469,2.6477963695894777,3.352590875521241,2.9875522549092515
2,0.4930281972087047,2.889221781352293,116.6741433619318,1343.6349866820608,0.11537419824812323,-0.5069107116258634,-0.8542425444904763,6.833891719170693,9.397017024119455,2.6381944320207333,3.273862636427606,2.949776462935165
3,0.739542295813057,2.91766314783563,116.54918272478245,1343.4244038512163,0.115374198248124,-0.5069107116258433,-0.8542425444904883,6.660731931889406,9.26738208756574,2.616561639811149,3.208206306931047,2.912165395811479
4,0.9860563944174094,2.9461045143189666,116.42422208763311,1343.2138210203718,0.11960476816693942,-0.5037922555180135,-0.8555045661548542,6.495979027110094,9.139411897139547,2.59391865381793,3.150374285079961,2.875923743614705
5,1.2325704930217618,2.9760694403516523,116.3004154327459,1343.0028265318397,0.14128097273899518,-0.4875415765304862,-0.8615932322715235,6.348520740269493,9.024769210497109,2.589833654108788,3.1080457411654647,2.843094732344047
6,1.479084591626114,3.015816580349764,116.18401807236589,1342.7891889411183,0.1612367820872487,-0.47217323893028534,-0.8666343707355674,6.214470136508906,8.920963015828479,2.579611362335574,3.070180081269716,2.812918258211366
7,1.7255986902304663,3.0555637203478754,116.06762071198587,1342.5755513503968,0.1612367820872487,-0.47217323893028534,-0.8666343707355674,6.105102540887409,8.838702640437761,2.5834364452723095,3.0288044037369484,2.788056308563543
8,1.9721127888348189,3.095310860345987,115.95122335160585,1342.3619137596754,0.16228509666075086,-0.46984399217300826,-0.8677039647372489,5.989556649204838,8.756182700973383,2.571601950119285,2.9902567897359624,2.76154673710206
9,2.218626887439171,3.135472767262562,115.83575700673364,1342.147860969602,0.16645858408851116,-0.4605074535212642,-0.8719084957921954,5.870772915151766,8.673136653038323,2.5549628999923133,2.9610286616888035,2.734026377658299
10,2.4651409860435236,3.1773976583330703,115.72424798226055,1341.9320433572982,0.1700709667636459,-0.4523433957911325,-0.8754777658788518,5.745076775085068,8.58975255067321,2.5173295360945613,2.940498557786061,2.704599589140298
11,2.7116550846478757,3.2193225494035786,115.61273895778747,1341.7162257449945,0.1700709667636446,-0.452343395791154,-0.8754777658788409,5.627216718328933,8.514598229252686,2.476572888627595,2.933063654624053,2.6767134423713026
12,2.958169183252228,3.2612474404740865,115.50122993331439,1341.5004081326906,0.17710118696854532,-0.4519003042092367,-0.8743118920785256,5.534367703070119,8.45237041733162,2.4463390818796853,2.943924424868637,2.6545387197503802
13,3.2046832818565805,3.3064021674244426,115.38994190827175,1341.2851601702635,0.191030030135809,-0.4509524707833268,-0.8718654693705472,5.435181943464713,8.385184722677664,2.399133047601021,2.949386361092609,2.6306441384668102
14,3.4511973804609326,3.3556046873840515,115.27893085084693,1341.0706261217542,0.19959312768792825,-0.4503233610301588,-0.8702709083327166,5.317316552258831,8.303890442384503,2.353192123957885,2.930352762476024,2.6019642015621156
15,3.6977114790652856,3.4048072073436604,115.16791979342212,1340.856092073245,0.19959312768792745,-0.4503233610301589,-0.8702709083327168,5.190623010055319,8.214006137324349,2.3071242632841864,2.897401306189245,2.5707793523005225
