iteration,Ux_initial,Uy_initial,Uz_initial,p_initial,Ux_final,Uy_final,Uz_final,p_final,p_corrections,Ux_linear_iterations,Uy_linear_iterations,Uz_linear_iterations,continuity_local,continuity_global,continuity_cumulative
38,0.0024747694,0.0037533802,0.003645581,0.018981405,7.3433501e-05,0.00011659284,0.00011956371,3.7011572e-05,3,3,3,3,0.08349248,0.00017665979,1.3189445
39,0.0023958173,0.003615627,0.0035256093,0.018284869,7.179062e-05,0.00011292564,0.00011591218,4.0414808e-05,3,3,3,3,0.090764835,8.6560885e-06,1.3189531
40,0.0023606163,0.0035274672,0.0034408544,0.017756604,7.1113516e-05,0.00011029584,0.0001129374,3.4479176e-05,3,3,3,3,0.077917979,-0.000237648,1.3187155
41,0.0023219767,0.0034408382,0.0033646263,0.017333507,7.0614595e-05,0.00010811947,0.00011074734,2.7540273e-05,3,3,3,3,0.062610424,-5.390377e-05,1.3186616
42,0.002275959,0.003348387,0.0032840406,0.016890635,6.9673961e-05,0.00010568296,0.00010861947,2.732673e-05,3,3,3,3,0.062377828,-0.00010429582,1.3185573
43,0.002234639,0.0032716836,0.0032211229,0.016437977,6.8603856e-05,0.00010387473,0.00010717899,2.355549e-05,3,3,3,3,0.053683103,-2.0688649e-05,1.3185366
44,0.0021931988,0.0031983358,0.00316044,0.016033471,6.7647206e-05,0.00010222141,0.00010564463,2.4230653e-05,3,3,3,3,0.055157085,0.00023233416,1.3187689
45,0.002157181,0.0031291122,0.003097884,0.015673918,6.6781912e-05,0.00010044355,0.00010376897,2.7358046e-05,3,3,3,3,0.062253813,6.5044059e-05,1.318834
46,0.0021289458,0.0030696361,0.0030409124,0.015376536,6.6106424e-05,9.8856162e-05,0.00010197659,2.4022084e-05,3,3,3,3,0.054812711,0.00049578688,1.3193298
47,0.0021012037,0.003009932,0.0029858509,0.015119679,6.5477001e-05,9.7319819e-05,0.00010033435,1.8304235e-05,3,3,3,3,0.041833091,8.0136739e-05,1.3194099
48,0.002074119,0.0029488586,0.0029320791,0.014857517,6.4861011e-05,9.5742486e-05,9.8798771e-05,2.093973e-05,3,3,3,3,0.047952308,9.1865617e-06,1.3194191
49,0.0020477325,0.0028912295,0.0028815919,0.014587389,6.4260888e-05,9.4203219e-05,9.7435028e-05,1.9891336e-05,3,3,3,3,0.045583483,-0.00017145657,1.3192476
50,0.0020213532,0.0028370579,0.0028334442,0.01432627,6.3694995e-05,9.2690757e-05,9.6078876e-05,2.0699561e-05,3,3,3,3,0.047505555,-8.203725e-06,1.3192394
51,0.0019953606,0.0027865101,0.0027869643,0.014053039,6.3129065e-05,9.1210982e-05,9.4708987e-05,2.2508897e-05,3,3,3,3,0.051719369,0.00052491502,1.3197643
52,0.0019721555,0.0027384003,0.002741867,0.01381658,6.2608829e-05,8.9775355e-05,9.337638e-05,1.959592e-05,3,3,3,3,0.045067733,0.00021248578,1.3199768
53,0.0019515382,0.0026918944,0.0026982807,0.013615449,6.2114048e-05,8.8422e-05,9.209079e-05,1.5550802e-05,3,3,3,3,0.035804667,-1.9880041e-05,1.3199569
54,0.0019322828,0.0026472078,0.0026560957,0.01342543,6.1663168e-05,8.7129614e-05,9.0861202e-05,1.7121154e-05,3,3,3,3,0.039472404,-0.00025530478,1.3197016
55,0.0019136363,0.0026041067,0.00261572,0.013232103,6.1211552e-05,8.5918627e-05,8.9700103e-05,1.7189557e-05,3,3,3,3,0.039690414,-0.00031609035,1.3193855
56,0.0018948029,0.0025630377,0.002577305,0.013047621,6.0751613e-05,8.4774386e-05,8.8584561e-05,1.6634603e-05,3,3,3,3,0.038467798,-0.00010816954,1.3192774
57,0.0018767598,0.0025245298,0.0025408146,0.012896919,6.0287198e-05,8.3681862e-05,8.7482246e-05,1.5280559e-05,3,3,3,3,0.035387069,3.3577681e-05,1.319311
58,0.001860267,0.0024877239,0.002505948,0.012773323,5.9855976e-05,8.2629846e-05,8.6390538e-05,1.5424951e-05,3,3,3,3,0.035769212,0.00030330635,1.3196143
59,0.0018453575,0.0024524322,0.0024720347,0.012653292,5.9454105e-05,8.1640311e-05,8.5322666e-05,1.7615784e-05,3,3,3,3,0.040905052,-2.706886e-05,1.3195872
60,0.0018314956,0.0024192817,0.0024393854,0.01253001,5.9084332e-05,8.0729264e-05,8.4279005e-05,1.5223693e-05,3,3,3,3,0.035399594,0.00011762783,1.3197048
61,0.0018173628,0.0023876045,0.0024081002,0.012417003,5.8730007e-05,7.9916163e-05,8.3279228e-05,1.5276339e-05,3,3,3,3,0.035573839,-0.00041928942,1.3192855
62,0.0018035204,0.0023584939,0.0023779054,0.012296835,5.8375689e-05,7.9177172e-05,8.2337858e-05,1.5965716e-05,3,3,3,3,0.037233479,-0.00028967873,1.3189958
63,0.0017909715,0.0023308168,0.0023494399,0.012180444,5.8039706e-05,7.8466119e-05,8.1466566e-05,1.5504117e-05,3,3,3,3,0.036211435,-0.00027109265,1.3187248
64,0.0017791965,0.0023043026,0.0023224272,0.012067731,5.7702186e-05,7.7762976e-05,8.0647868e-05,1.4622212e-05,3,3,3,3,0.034200912,-0.00045431348,1.3182704
