iteration,Ux_initial,Uy_initial,Uz_initial,p_initial,Ux_final,Uy_final,Uz_final,p_final,p_corrections,Ux_linear_iterations,Uy_linear_iterations,Uz_linear_iterations,continuity_local,continuity_global,continuity_cumulative
1,1.0,1.0,1.0,1.0,0.015698935,0.017846242,0.018656455,0.00066818481,3,2,3,3,55.95299,1.0319313,1.0319313
2,0.37842867,0.42143511,0.38903419,0.3493797,0.013420364,0.018415526,0.0094148109,0.00048582381,3,2,2,3,29.664525,0.23838906,1.2703204
3,0.32261802,0.46191043,0.57346425,0.11266413,0.014030437,0.0088022604,0.011153298,0.0026961443,3,3,4,4,17.982807,-0.13787967,1.1324407
4,0.17502609,0.29510095,0.33251828,0.11166862,0.0076869176,0.0055807853,0.0064322099,0.00065619756,3,3,4,4,27.652689,0.40309679,1.5355375
5,0.15610189,0.22865644,0.15490042,0.30196971,0.0077634208,0.0051562202,0.0056611161,0.00043047241,3,2,3,3,12.700416,0.33980888,1.8753464
6,0.22735421,0.33290247,0.35112182,0.20279035,0.0080984692,0.015248766,0.0066980055,0.0019170948,3,3,3,4,16.199141,0.10942234,1.9847687
7,0.16648604,0.23394809,0.23257811,0.24387912,0.0059883762,0.010445777,0.011575326,0.00059884388,3,3,3,3,15.203188,-0.12042491,1.8643438
8,0.15539259,0.21435718,0.15243803,0.21289718,0.0028836536,0.0055731204,0.0063449907,0.00055583101,3,3,3,3,8.2909674,-0.022386291,1.8419575
9,0.14496931,0.22436147,0.21589836,0.15437745,0.0050257091,0.010125025,0.0041268561,0.0013946035,3,3,3,4,9.0052123,-0.001831948,1.8401256
10,0.073861276,0.11041451,0.088842476,0.18900982,0.0022923983,0.0043403844,0.0042268637,0.00057627041,3,3,3,3,8.0396184,0.10033001,1.9404556
11,0.07464898,0.11115711,0.084400337,0.17436529,0.0016224009,0.0033418664,0.0038347282,0.00049038462,3,3,3,3,3.559812,0.016516103,1.9569717
12,0.077816888,0.12162113,0.11689631,0.1545614,0.002717363,0.005482533,0.0022222558,0.0010154176,3,3,3,4,5.7580304,-0.0076940588,1.9492777
13,0.044850929,0.062155438,0.043022771,0.17669727,0.0012016971,0.0019965026,0.0017597737,0.00049036017,3,3,3,3,4.1939973,-0.049097474,1.9001802
14,0.047569012,0.070641985,0.057874041,0.11395345,0.0011675298,0.0024079237,0.0027657763,0.00034015639,3,3,3,3,1.4843342,0.013416283,1.9135965
15,0.040024886,0.064403912,0.061124214,0.11142292,0.0014267797,0.0029444594,0.0011717711,0.00089331843,3,3,3,4,3.5129537,0.0027387847,1.9163352
16,0.022365106,0.031201645,0.019652941,0.10652097,0.00052414183,0.00084355182,0.00067919759,0.00043459594,3,3,3,3,2.1627341,0.02876409,1.9450993
17,0.025673195,0.038460293,0.032952789,0.094499264,0.00067111686,0.0013562301,0.0015706358,0.00032593199,3,3,3,3,0.8777893,-0.002580178,1.9425192
18,0.021092722,0.032871893,0.030591039,0.095633487,0.00073909887,0.0014504022,0.001518041,0.00059676122,3,3,3,3,2.077205,-0.0027796208,1.9397395
19,0.013654474,0.018388621,0.011989749,0.082413333,0.00029900607,0.00041408532,0.00035009071,0.00043272429,3,3,3,3,1.5930004,-0.0046980017,1.9350415
20,0.014881313,0.02264037,0.020224352,0.063008092,0.00041741409,0.00085835845,0.00098173943,0.00028753422,3,3,3,3,0.73391154,-0.0024453715,1.9325962
21,0.011287646,0.017971598,0.016744773,0.0595643,0.00039801957,0.00079127557,0.00083208346,0.00047179553,3,3,3,3,1.2020359,0.0017367188,1.9343329
22,0.0081249937,0.011313918,0.0078464348,0.050601664,0.00019621041,0.00031093557,0.00027333896,0.000332359,3,3,3,3,0.85523304,0.0039481373,1.938281
23,0.0087401829,0.013049976,0.011075168,0.05274738,0.0002566519,0.00047186999,0.00050221527,0.00021758672,3,3,3,3,0.46964981,0.00059680232,1.9388778
24,0.0067880705,0.010109874,0.0088043725,0.049854747,0.0002336651,0.0003988633,0.00039944686,0.00026762157,3,3,3,3,0.70040434,-0.0017885966,1.9370892
25,0.0055597038,0.0078731873,0.0063387686,0.038865385,0.00015249973,0.00024296645,0.00023794014,0.00018656756,3,3,3,3,0.48049239,-0.0021269999,1.9349622
26,0.0055169208,0.0085827054,0.0078260872,0.035084543,0.00017400434,0.00033516507,0.0003592639,0.00014631803,3,3,3,3,0.3314196,0.00032263929,1.9352849
27,0.0043749185,0.006886858,0.0063034506,0.032399894,0.00015424751,0.00028084669,0.00028664415,0.00019969816,3,3,3,3,0.4160767,0.0022843113,1.9375692
28,0.0039895155,0.0058762214,0.0050330908,0.02944777,0.00012907396,0.00021295791,0.00020660105,0.0001376619,3,3,3,3,0.28749853,-0.00093624945,1.9366329
29,0.0039560976,0.005915525,0.0053253738,0.029057698,0.00013922518,0.00023031326,0.00023004247,0.00010007735,3,3,3,3,0.22462338,0.00012217172,1.9367551
30,0.0034349771,0.0051627032,0.0047355348,0.027352014,0.00012796267,0.00020577669,0.00020346162,0.00011672022,3,3,3,3,0.27469309,0.00098938112,1.9377445
31,0.0032028646,0.004852541,0.0044473184,0.024793381,0.00011511614,0.00018822022,0.00018891506,8.1275557e-05,3,3,3,3,0.18882504,0.00015978744,1.9379043
32,0.0030555081,0.0047671618,0.0045014564,0.023376388,0.00011461864,0.00019548898,0.00020130558,7.1343182e-05,3,3,3,3,0.1598879,4.5231829e-05,1.9379495
