iteration,Ux_initial,Uy_initial,Uz_initial,p_initial,Ux_final,Uy_final,Uz_final,p_final,p_corrections,Ux_linear_iterations,Uy_linear_iterations,Uz_linear_iterations,continuity_local,continuity_global,continuity_cumulative
1,1.0,1.0,1.0,1.0,0.015538543,0.018523368,0.019262385,0.00056338336,3,2,3,3,76.755542,1.0294465,1.0294465
2,0.35805994,0.40742706,0.40436841,0.25781264,0.015725917,0.0091265915,0.013622954,0.00056644471,3,2,3,3,50.444469,0.78151253,1.810959
3,0.31297449,0.46468362,0.58205902,0.10499291,0.013828601,0.023209579,0.011145034,0.0025613142,3,3,3,4,32.692254,-0.13834255,1.6726165
4,0.16429586,0.29013487,0.31957687,0.10159648,0.0071423903,0.014349103,0.0060697057,0.00059760449,3,3,3,4,40.176349,-0.098033518,1.5745829
5,0.15191156,0.22447823,0.16612297,0.27111795,0.0026810036,0.005428847,0.0067653499,0.00070207561,3,3,3,3,30.261316,-0.50394917,1.0706338
6,0.22576519,0.33779957,0.37167901,0.19092238,0.0082535265,0.015562832,0.018468915,0.0021655872,3,3,3,3,28.925103,-0.02676053,1.0438733
7,0.15652249,0.23433102,0.24292809,0.23875796,0.0057728781,0.010699745,0.011998189,0.00060657852,3,3,3,3,23.698712,0.55827957,1.6021528
8,0.14701999,0.21329097,0.1615889,0.20164308,0.0030023942,0.0059803651,0.0070674777,0.0005642658,3,3,3,3,12.968302,0.048959991,1.6511128
9,0.14096582,0.23140697,0.23243216,0.14766861,0.0051035602,0.010634172,0.011592105,0.0017177199,3,3,3,3,15.69866,-0.12665813,1.5244547
10,0.066755355,0.10610684,0.09535066,0.18727793,0.0022212181,0.0044968631,0.0046446125,0.00066844131,3,3,3,3,14.35202,-0.40017957,1.1242751
11,0.069008918,0.1053687,0.082735813,0.1771528,0.0015892459,0.0033235697,0.0037757997,0.00053111512,3,3,3,3,6.0565104,-0.065741619,1.0585335
12,0.077540733,0.12683282,0.12798116,0.15471167,0.0028385384,0.0058329289,0.0063503117,0.0012480102,3,3,3,3,9.3259345,0.03861239,1.0971459
13,0.040742687,0.059930219,0.049257982,0.19354541,0.0012217124,0.0022387153,0.0022892588,0.00051651114,3,3,3,3,6.6718089,0.11659553,1.2137414
14,0.044995037,0.069226511,0.057416332,0.1219068,0.001165695,0.002457585,0.0027250566,0.00037844758,3,3,3,3,2.4771612,-0.011479331,1.2022621
15,0.04085399,0.069124096,0.069140369,0.11935981,0.0015331561,0.0032336233,0.0034541418,0.0011437579,3,3,3,3,5.6725353,-0.027052084,1.17521
16,0.019896474,0.02911916,0.022284986,0.12321526,0.00053844324,0.00096774808,0.0009667833,0.00048260492,3,3,3,3,3.5101481,-0.057362522,1.1178475
17,0.024242767,0.037716118,0.031861931,0.10647247,0.00065395392,0.0013671364,0.0014983683,0.00031787484,3,3,3,3,1.1398923,-0.0060792842,1.1117682
18,0.021702748,0.035941167,0.035490864,0.11194618,0.0008007003,0.0016395531,0.0017504968,0.00079534039,3,3,3,3,3.3406305,0.011120695,1.1228889
19,0.011874093,0.016615105,0.011278737,0.11303106,0.00028620547,0.00042586521,0.00038197162,0.00036664523,3,3,3,3,1.8544589,0.031957198,1.1548461
20,0.014482083,0.022922104,0.020496078,0.071761382,0.0004276859,0.0009016897,0.00098770999,0.00023496092,3,3,3,3,0.69917954,-0.0046840258,1.1501621
21,0.011580869,0.01965922,0.019529213,0.071153102,0.00044015741,0.00090943702,0.00097377073,0.00067291654,3,3,3,3,1.9449385,-0.0069989352,1.1431631
22,0.0070310106,0.010109955,0.007603011,0.0609847,0.00018437664,0.0003071023,0.00029789569,0.00048706788,3,3,3,3,1.5177867,-0.01032291,1.1328402
23,0.0083378378,0.012979603,0.011036131,0.063841445,0.00024777539,0.00048158093,0.00050026067,0.00026207531,3,3,3,3,0.54910154,0.0056943615,1.1385346
24,0.0065823164,0.010465849,0.009541183,0.064755789,0.00023797436,0.00043755206,0.00044474545,0.000390279,3,3,3,3,1.1240877,0.0046884041,1.143223
25,0.0049356758,0.0071510623,0.0058508654,0.048411876,0.00014565423,0.00023825755,0.00023252059,0.00027307597,3,3,3,3,0.79441128,0.0039548897,1.1471779
26,0.0053627048,0.0087115382,0.0081220557,0.041810065,0.00017701881,0.00035259344,0.00037223533,0.0001625399,3,3,3,3,0.3813748,-0.004707386,1.1424705
27,0.0042255822,0.0071118781,0.0068887428,0.039284835,0.00016055162,0.00030826957,0.00032103979,0.00029635128,3,3,3,3,0.63743266,-0.0018440994,1.1406264
28,0.0036128026,0.0055035622,0.0048919286,0.035051281,0.00012303047,0.00021271646,0.00020902877,0.00019594176,3,3,3,3,0.41624648,-0.0004048603,1.1402215
29,0.0037463512,0.0057564769,0.005044171,0.035860571,0.00013358444,0.00022613082,0.00021703286,0.00012212564,3,3,3,3,0.26947086,0.0043072335,1.1445288
30,0.0032209101,0.0049874223,0.0045627521,0.034043223,0.00012481337,0.00020716788,0.00019953105,0.00015148922,3,3,3,3,0.36894002,0.00032192375,1.1448507
31,0.0029860369,0.0047387875,0.0044804829,0.029550346,0.00011154602,0.00019696887,0.00019651649,0.00010557197,3,3,3,3,0.25295753,0.0047111837,1.1495619
32,0.0029186702,0.0048624165,0.0047170139,0.027657793,0.00011278965,0.00020883074,0.00021272942,8.3358451e-05,3,3,3,3,0.18643779,-0.002366499,1.1471954
33,0.0026357083,0.0044376788,0.004344805,0.026104391,0.00010711412,0.00019512945,0.00019730979,0.00011506438,3,3,3,3,0.24503091,-0.0049766203,1.1422187
34,0.0025549739,0.0041474957,0.003977702,0.024813508,0.0001024396,0.00017975295,0.00017772878,7.5982807e-05,3,3,3,3,0.1636367,-0.0013843226,1.1408344
35,0.0025145003,0.0040447384,0.0038498006,0.024421464,0.00010228349,0.00017593188,0.00017182492,5.9133605e-05,3,3,3,3,0.13225903,0.0020966613,1.1429311
36,0.0023830448,0.003889159,0.0037496032,0.023383726,9.9052978e-05,0.00017137372,0.00016839891,6.9933249e-05,3,3,3,3,0.16033172,0.0023936686,1.1453247
37,0.0023060322,0.0038283402,0.0037285542,0.022025054,9.5942832e-05,0.00016938477,0.00016861238,4.7826128e-05,3,3,3,3,0.10878837,0.00044588073,1.1457706
38,0.0022401126,0.0037646017,0.0036905685,0.02109927,9.4332064e-05,0.00016795123,0.00016826819,4.6502474e-05,3,3,3,3,0.10377525,-0.00097315624,1.1447975
39,0.0021649281,0.0036351748,0.0035638747,0.020280543,9.2247865e-05,0.00016304714,0.00016287697,5.1596713e-05,3,3,3,3,0.1137227,-0.0011532811,1.1436442
40,0.0021249598,0.0035287656,0.0034409694,0.019644048,9.0664369e-05,0.00015820127,0.00015702969,3.7672462e-05,3,3,3,3,0.083487255,-9.1086436e-05,1.1435531
