case,mesh_size_mm,cells,points,max_aspect_ratio,max_non_orthogonality_deg,severe_non_orthogonal_faces,max_skewness,minimum_cell_volume_m3,final_iteration,execution_time_s,pressure_drop_pa,resistance_pa_per_l_min,matched_mean_axial_velocity_m_s,matched_peak_velocity_m_s,right_lung_fraction_percent,left_lung_fraction_percent,right_superior_share_percent,mass_imbalance_percent,resistance_pa_per_l_min_difference_percent,right_lung_fraction_percent_difference_percent,right_superior_share_percent_difference_percent,matched_peak_velocity_m_s_difference_percent,right_lung_fraction_percentage_point_difference
postop_hxt_025,0.25,180163,39977,114.13915,88.628521,2,1.4566776,7.9021337e-15,596,10.27,30.718591229116257,15.15261612034737,6.564059972724151,9.446518178667668,73.66353913539136,26.336461164611645,15.231480637734357,3.0000299476544863e-07,15.374936890055077,0.36342412287548287,6.266170342432549,3.818681488706619,0.2667416674166816
postop_hxt_020,0.2,339886,71198,11.725293,80.287837,2,1.2683237,3.6414727e-14,770,21.76,32.986123991693354,16.361284638983786,6.505780408096426,9.573021000953851,73.61941109411094,26.38058770587706,15.596793769511327,1.2000119993907886e-06,8.624706510281847,0.3033015524054694,4.018050170791215,2.5306716619366747,0.22261362613626545
postop_hxt_015,0.15,776568,151599,12.627491,69.817082,,1.195758,5.1159197e-14,1611,104.36,35.21481936928151,17.544406359884203,6.472713232794174,9.67048422371793,73.68615996159961,26.313840638406383,16.016657845586828,6.000059895308973e-07,2.017151121645159,0.3942440319023363,1.4342260027918194,1.5383334168277125,0.28936249362493527
postop_hxt_012,0.12,1493440,281330,88.000073,82.335887,19,1.3962258,8.7139444e-16,2000,267.98,35.8720262612634,17.90558915230714,6.474469634631317,9.821572759535918,73.39679746797468,26.60288752887529,16.249715490531724,0.0003150031500332075,0.0,0.0,0.0,0.0,0.0
